pool_hash;ticker;name;cluster_id;cluster_name
3c647453fb1929284f9dd6dd495dcdee1d7b0e604851da958f0234e9;2PCT1;2 Percent Pool - #1;36;2percentpools.live
a6d947298c4b1560fec35d5e4f93e46378d653a60526476bf38b1e8b;NLD;DutchPool NLD;;
89eba2781e5cd11ccda6be56503702a39e9941e522f04cd5bba22957;BSP;The Brothership Pool;;
1c2e3e1c3bd11f227a53c6d7a009303f2a9a03b44309789ec8ce3daf;FANCY;FanceePool;;
b59366e330a6db8260ad9aae8446ba8c908931d1b9cb3cca5d1d84aa;1PCT9;1 Percent Pool #9 (v1);1;1percentpool.eu
3b0a33f53dfde8ffd7f05e16aeb9b888a019b383c43cbad26c517985;LONDN;London pool;57;londonpool.co.uk
b954fafa5b6a161aa56ac38e8b263da7ab462538e97dd2520b5f943b;VALUE;Value Stake Pool;;
4f29af22aadfd854fb33cdbc2cdcb5c3fb7594eead5bcf41455bf3f1;ADAU;Cardano Universe;;
c63dab6d780a74cbae2a27696c9723f55b3092b2bd001256df03827f;BLOCK;kBlocks;;
1408010df5450238cd9e626c7fb711e25e6fcb072256d8002630024c;AKANE;AKANE;;
00000aedaa1a5abf500cbc4c5c23761a2dff570bc4a299983c893f8e;MASTR;Masterstake;;
d026c269eea21d619fc0207ae548689b5637e36eef19a7ed41a7cc20;2PCT2;2 Percent Pool - #2;36;2percentpools.live
3a8bcab8c27ddbd5c30f8604d78e31d29c6b1d40f827893a9681bd34;PAC;PaC_Pool;;
66e4abd18e4623a2a0acafc9ba78683d56785f4b74d50c7a981c42d9;SEXY;SEXY;;
0000558092d1645b110130bb1b9d449dced79bfccf313e2880e6cf38;SION;SION stake pool;21;angelstakepool.net
2d10d9ee5a86c5cedb75cacd033a2945cfd80315eb978858244cec1c;SUNNY;Sunshine Stake Pool;;
765e6963038b3152067bb8a08707d0306045f0ed5b1f02641b58fff6;A4PEU;ADA4PROFIT JUNO;;
79c4d4fe108f480fee98f307adac12571df2959651f833b595141cd1;AZUR;AzureADA;;
96840eba5a4d0ff0d42f7ad5ac83343a0c6a87b1c71bf106cc544855;GURU;Cardano GURU Pool;;
a631b46315b1567ef0ce2b2ad4cb63faac09f32ceba6716a7e331e5e;4ADA;Staking4ADA.org;;
